0,0
0,5
7,0
10,0
12,3
14,7
3,9
8,2
1,6
15,10
4,4
9,1
6,8
2,5
11,12
13,14
5,11
6,13
7,15
8,16
9,17
10,18
11,19
12,20
13,21
14,22
15,23
0,24
1,25
2,26
3,27
4,28
5,29
6,30
7,0
8,1
9,2
10,3
11,4
12,5
13,6
14,7
15,8
0,9
1,10
2,11
3,12
4,13
5,14
6,15
7,16
8,17
9,18
10,19
11,20
12,21
13,22
14,23
15,24
0,25
1,26
2,27
3,28
4,29
5,30
6,0
7,1
8,2
9,3
10,4
11,5
12,6
13,7
14,8
15,9
0,10
1,11
2,12
3,13
4,14
5,15
6,16
7,17
8,18
9,19
10,20
11,21
12,22
13,23
14,24
15,25
0,26
1,27
2,28
3,29
4,30
5,0
6,1
7,2
8,3
9,4
10,5
11,6
12,7
13,8
14,9
15,10
0,11
1,12
2,13
3,14
4,15
5,16
6,17
7,18
8,19
9,20
10,21
11,22
12,23
13,24
14,25
15,26
